datum,beschreibung,betrag,kategorie
2026-01-03,Gehalt,4200.00,EINKOMMEN
2026-01-04,Miete,-1450.00,WOHNEN
2026-01-05,Stromabschlag,-95.00,NEBENKOSTEN
2026-01-06,Supermarkt Wocheneinkauf,-186.45,LEBENSMITTEL
2026-01-08,Kita-Beitrag,-320.00,KINDER
2026-01-10,Tanken,-78.50,MOBILITAET
2026-01-15,Versicherung Familie,-210.00,VERSICHERUNG
2026-01-18,Restaurant Familienessen,-64.80,FREIZEIT
2026-01-22,Online Shopping Haushalt,-89.99,HAUSHALT
2026-01-28,Kindergeld,500.00,EINKOMMEN
2026-02-03,Gehalt,4200.00,EINKOMMEN
2026-02-04,Miete,-1450.00,WOHNEN
2026-02-05,Internet und Handy,-54.99,NEBENKOSTEN
2026-02-07,Supermarkt Wocheneinkauf,-194.30,LEBENSMITTEL
2026-02-09,Schulmaterial,-48.20,KINDER
2026-02-12,Tanken,-81.40,MOBILITAET
2026-02-14,Kino und Snacks,-42.00,FREIZEIT
2026-02-18,Arztkosten,-35.00,GESUNDHEIT
2026-02-23,Drogerie,-61.75,HAUSHALT
2026-02-28,Kindergeld,500.00,EINKOMMEN
2026-03-03,Gehalt,4200.00,EINKOMMEN
2026-03-04,Miete,-1450.00,WOHNEN
2026-03-06,Supermarkt Wocheneinkauf,-201.85,LEBENSMITTEL
2026-03-08,Tanzkurs Kind,-39.00,KINDER
2026-03-11,Tanken,-73.10,MOBILITAET
2026-03-13,Frühlingskleidung Kinder,-132.40,KINDER
2026-03-17,Stromabschlag,-95.00,NEBENKOSTEN
2026-03-21,Baumarkt,-57.60,HAUSHALT
2026-03-25,Freizeitpark,-126.00,FREIZEIT
2026-03-28,Kindergeld,500.00,EINKOMMEN
2026-04-03,Gehalt,4200.00,EINKOMMEN
2026-04-04,Miete,-1450.00,WOHNEN
2026-04-05,Supermarkt Wocheneinkauf,-188.90,LEBENSMITTEL
2026-04-06,Gasabschlag,-110.00,NEBENKOSTEN
2026-04-09,ÖPNV Tickets,-96.00,MOBILITAET
2026-04-12,Zahnarzt,-85.00,GESUNDHEIT
2026-04-16,Osterurlaub,-420.00,FREIZEIT
2026-04-20,Schuhe Kinder,-89.95,KINDER
2026-04-24,Drogerie,-58.10,HAUSHALT
2026-04-28,Kindergeld,500.00,EINKOMMEN
